,WPSNR,NWPSNR
0004.jpg,42.593,0.583
0005.jpg,43.419,0.629
0006.jpg,43.381,0.627
0007.jpg,44.319,0.679
0008.jpg,44.687,0.699
0009.jpg,44.912,0.711
0010.jpg,45.314,0.734
0011.jpg,45.715,0.756
0012.jpg,45.314,0.734
0013.jpg,46.777,0.815
0014.jpg,47.017,0.828
0015.jpg,47.516,0.856
0016.jpg,46.942,0.824
0017.jpg,47.467,0.853
0018.jpg,47.038,0.829
0019.jpg,47.518,0.856
0020.jpg,47.663,0.864
0021.jpg,47.961,0.88
0022.jpg,47.629,0.862
0023.jpg,47.873,0.876
0024.jpg,47.172,0.837
0025.jpg,47.579,0.859
0026.jpg,47.036,0.829
0027.jpg,47.854,0.874
0028.jpg,47.634,0.862
0029.jpg,47.97,0.881
0030.jpg,48.243,0.896
0031.jpg,48.093,0.888
0032.jpg,48.306,0.9
0033.jpg,48.536,0.912
0034.jpg,47.92,0.878
0035.jpg,48.177,0.892
0036.jpg,47.536,0.857
0037.jpg,48.234,0.896
0038.jpg,48.268,0.897
0039.jpg,47.708,0.866
0040.jpg,48.123,0.889
0041.jpg,48.222,0.895
0042.jpg,48.095,0.888
0043.jpg,48.356,0.902
0044.jpg,48.426,0.906
0045.jpg,48.498,0.91
0046.jpg,48.513,0.911
0047.jpg,48.279,0.898
0048.jpg,47.669,0.864
0049.jpg,47.99,0.882
0050.jpg,48.372,0.903
0051.jpg,48.65,0.919
0052.jpg,48.729,0.923
0053.jpg,48.762,0.925
0054.jpg,48.594,0.916
0055.jpg,48.529,0.912
0056.jpg,48.228,0.895
0057.jpg,48.467,0.908
0058.jpg,48.547,0.913
0059.jpg,48.466,0.908
0060.jpg,47.989,0.882
0061.jpg,48.568,0.914
0062.jpg,48.481,0.909
0063.jpg,49.061,0.941
0064.jpg,48.743,0.924
0065.jpg,48.65,0.919
0066.jpg,47.97,0.881
0067.jpg,48.112,0.889
0068.jpg,48.231,0.895
0069.jpg,48.462,0.908
0070.jpg,48.416,0.906
0071.jpg,47.659,0.864
0072.jpg,46.959,0.825
0073.jpg,46.843,0.818
0074.jpg,47.431,0.851
0075.jpg,46.897,0.821
0076.jpg,47.322,0.845
0077.jpg,47.231,0.84
0078.jpg,47.92,0.878
0079.jpg,47.604,0.861
0080.jpg,47.525,0.856
0081.jpg,48.207,0.894
0082.jpg,48.196,0.893
0083.jpg,48.075,0.887
0084.jpg,48.03,0.884
0085.jpg,48.289,0.899
0086.jpg,48.391,0.904
0087.jpg,48.165,0.892
