,WPSNR,NWPSNR
004.jpg,46.027,0.667
005.jpg,46.728,0.689
006.jpg,44.67,0.625
007.jpg,50.274,0.798
008.jpg,50.461,0.804
009.jpg,45.892,0.663
010.jpg,43.744,0.597
011.jpg,47.862,0.724
012.jpg,50.893,0.817
013.jpg,45.371,0.647
014.jpg,46.373,0.678
015.jpg,47.042,0.698
016.jpg,47.092,0.7
017.jpg,50.273,0.798
018.jpg,47.734,0.72
019.jpg,47.217,0.704
020.jpg,45.255,0.643
021.jpg,49.182,0.764
022.jpg,48.454,0.742
023.jpg,47.389,0.709
024.jpg,47.152,0.702
025.jpg,45.78,0.66
026.jpg,45.291,0.644
027.jpg,45.479,0.65
028.jpg,45.317,0.645
029.jpg,46.931,0.695
030.jpg,46.666,0.687
031.jpg,47.722,0.719
032.jpg,50.036,0.791
033.jpg,45.615,0.654
034.jpg,47.977,0.727
035.jpg,48.038,0.729
036.jpg,48.567,0.745
037.jpg,49.438,0.772
038.jpg,45.541,0.652
039.jpg,44.946,0.634
040.jpg,44.881,0.632
041.jpg,49.766,0.782
042.jpg,49.575,0.776
043.jpg,47.855,0.723
044.jpg,50.305,0.799
045.jpg,45.05,0.637
046.jpg,44.917,0.633
047.jpg,46.59,0.684
048.jpg,37.051,0.391
049.jpg,43.934,0.603
050.jpg,44.57,0.622
051.jpg,49.314,0.768
052.jpg,47.263,0.705
053.jpg,44.539,0.621
054.jpg,44.055,0.606
055.jpg,49.623,0.778
056.jpg,47.01,0.697
057.jpg,45.898,0.663
058.jpg,46.617,0.685
059.jpg,46.978,0.696
060.jpg,49.173,0.764
061.jpg,47.639,0.717
062.jpg,44.159,0.61
063.jpg,45.331,0.646
064.jpg,48.374,0.739
065.jpg,48.966,0.758
066.jpg,44.765,0.628
067.jpg,43.273,0.582
068.jpg,44.999,0.635
069.jpg,43.455,0.588
070.jpg,42.117,0.547
071.jpg,43.444,0.588
072.jpg,36.153,0.363
073.jpg,39.317,0.461
074.jpg,42.974,0.573
075.jpg,46.849,0.692
076.jpg,42.575,0.561
077.jpg,40.003,0.482
078.jpg,44.841,0.631
079.jpg,40.854,0.508
080.jpg,44.213,0.611
081.jpg,40.095,0.485
082.jpg,37.217,0.396
083.jpg,36.444,0.372
084.jpg,36.831,0.384
085.jpg,37.943,0.418
086.jpg,40.056,0.483
087.jpg,45.224,0.642
088.jpg,42.181,0.549
089.jpg,44.216,0.611
090.jpg,40.068,0.484
091.jpg,39.087,0.453
092.jpg,39.209,0.457
093.jpg,42.087,0.546
094.jpg,40.665,0.502
095.jpg,42.165,0.548
096.jpg,34.398,0.309
097.jpg,35.79,0.352
098.jpg,42.868,0.57
099.jpg,44.444,0.618
100.jpg,40.267,0.49
101.jpg,43.189,0.58
102.jpg,39.79,0.475
103.jpg,42.988,0.574
104.jpg,40.951,0.511
105.jpg,40.272,0.49
106.jpg,35.911,0.356
107.jpg,37.586,0.407
108.jpg,38.98,0.45
109.jpg,39.958,0.48
110.jpg,42.403,0.556
111.jpg,41.402,0.525
112.jpg,41.072,0.515
113.jpg,40.935,0.51
114.jpg,41.862,0.539
115.jpg,37.282,0.398
116.jpg,41.727,0.535
117.jpg,40.912,0.51
118.jpg,42.391,0.555
119.jpg,42.385,0.555
120.jpg,34.946,0.326
121.jpg,30.072,0.176
122.jpg,31.07,0.207
123.jpg,45.255,0.643
124.jpg,32.104,0.239
125.jpg,32.56,0.253
126.jpg,30.732,0.196
127.jpg,31.518,0.22
128.jpg,31.33,0.215
129.jpg,31.282,0.213
130.jpg,31.297,0.214
131.jpg,31.074,0.207
132.jpg,32.477,0.25
133.jpg,30.52,0.19
134.jpg,31.593,0.223
135.jpg,33.196,0.272
136.jpg,32.217,0.242
137.jpg,32.541,0.252
138.jpg,32.016,0.236
139.jpg,32.115,0.239
140.jpg,32.921,0.264
141.jpg,32.475,0.25
142.jpg,31.87,0.231
143.jpg,32.283,0.244
144.jpg,25.737,0.043
145.jpg,28.178,0.118
146.jpg,32.509,0.251
147.jpg,45.91,0.664
148.jpg,31.769,0.228
149.jpg,32.34,0.246
150.jpg,36.976,0.388
151.jpg,32.061,0.237
152.jpg,32.054,0.237
153.jpg,27.543,0.098
154.jpg,30.186,0.179
155.jpg,29.454,0.157
156.jpg,32.367,0.247
157.jpg,31.646,0.224
158.jpg,31.854,0.231
159.jpg,31.764,0.228
160.jpg,31.506,0.22
161.jpg,31.789,0.229
162.jpg,32.755,0.259
163.jpg,31.59,0.223
164.jpg,31.61,0.223
165.jpg,31.354,0.215
166.jpg,31.202,0.211
167.jpg,31.256,0.212
168.jpg,26.251,0.058
169.jpg,28.968,0.142
170.jpg,31.682,0.226
171.jpg,33.351,0.277
172.jpg,26.368,0.062
173.jpg,26.845,0.077
174.jpg,25.756,0.043
175.jpg,26.559,0.068
176.jpg,25.771,0.044
177.jpg,24.356,0.0
178.jpg,25.482,0.035
179.jpg,39.609,0.47
180.jpg,24.964,0.019
181.jpg,24.609,0.008
182.jpg,42.235,0.55
183.jpg,25.052,0.021
184.jpg,27.101,0.085
185.jpg,41.421,0.525
186.jpg,26.09,0.053
187.jpg,29.032,0.144
188.jpg,30.623,0.193
189.jpg,26.403,0.063
190.jpg,30.59,0.192
191.jpg,30.886,0.201
192.jpg,25.891,0.047
193.jpg,28.061,0.114
194.jpg,41.695,0.534
195.jpg,31.172,0.21
196.jpg,30.073,0.176
197.jpg,31.957,0.234
198.jpg,41.633,0.532
199.jpg,29.848,0.169
200.jpg,41.866,0.539
201.jpg,31.691,0.226
202.jpg,41.749,0.535
203.jpg,41.098,0.515
204.jpg,42.517,0.559
205.jpg,41.209,0.519
206.jpg,41.372,0.524
207.jpg,42.359,0.554
208.jpg,43.156,0.579
209.jpg,42.633,0.563
210.jpg,41.819,0.538
211.jpg,43.015,0.574
212.jpg,41.814,0.537
213.jpg,41.366,0.524
214.jpg,41.33,0.523
215.jpg,42.57,0.561
216.jpg,39.676,0.472
217.jpg,42.84,0.569
218.jpg,44.99,0.635
219.jpg,47.42,0.71
220.jpg,43.686,0.595
221.jpg,42.867,0.57
222.jpg,43.476,0.589
223.jpg,43.532,0.59
224.jpg,43.381,0.586
225.jpg,43.379,0.586
226.jpg,44.078,0.607
227.jpg,43.675,0.595
228.jpg,44.469,0.619
229.jpg,44.348,0.615
230.jpg,44.891,0.632
231.jpg,44.566,0.622
232.jpg,44.326,0.615
233.jpg,44.272,0.613
234.jpg,45.272,0.644
235.jpg,45.61,0.654
236.jpg,45.784,0.66
237.jpg,46.293,0.675
238.jpg,46.68,0.687
239.jpg,46.686,0.687
240.jpg,44.487,0.62
241.jpg,46.189,0.672
242.jpg,50.444,0.803
243.jpg,50.6,0.808
244.jpg,49.409,0.771
245.jpg,50.408,0.802
246.jpg,51.656,0.84
247.jpg,51.172,0.825
248.jpg,51.346,0.831
249.jpg,52.367,0.862
250.jpg,52.463,0.865
251.jpg,54.407,0.925
252.jpg,55.171,0.949
253.jpg,56.362,0.985
254.jpg,56.329,0.984
255.jpg,56.257,0.982
256.jpg,56.522,0.99
257.jpg,56.66,0.994
258.jpg,56.688,0.995
259.jpg,56.648,0.994
260.jpg,56.669,0.995
261.jpg,56.561,0.991
262.jpg,56.613,0.993
263.jpg,56.497,0.989
264.jpg,56.218,0.981
265.jpg,56.342,0.985
266.jpg,56.292,0.983
267.jpg,56.393,0.986
268.jpg,56.52,0.99
269.jpg,56.467,0.988
270.jpg,56.466,0.988
271.jpg,56.252,0.982
272.jpg,56.149,0.979
273.jpg,56.412,0.987
274.jpg,56.292,0.983
275.jpg,56.319,0.984
276.jpg,55.74,0.966
277.jpg,56.047,0.976
278.jpg,56.129,0.978
279.jpg,55.754,0.967
280.jpg,55.838,0.969
281.jpg,56.028,0.975
282.jpg,56.01,0.974
283.jpg,55.789,0.968
284.jpg,55.978,0.973
285.jpg,56.029,0.975
286.jpg,56.008,0.974
287.jpg,56.073,0.976
288.jpg,55.389,0.955
289.jpg,55.892,0.971
290.jpg,55.895,0.971
291.jpg,55.983,0.974
292.jpg,55.591,0.962
293.jpg,55.807,0.968
294.jpg,55.751,0.966
295.jpg,56.125,0.978
296.jpg,55.974,0.973
297.jpg,55.792,0.968
298.jpg,55.979,0.973
299.jpg,55.92,0.972
300.jpg,55.901,0.971
301.jpg,55.229,0.95
302.jpg,56.103,0.977
303.jpg,55.878,0.97
304.jpg,56.013,0.975
305.jpg,55.803,0.968
306.jpg,55.703,0.965
307.jpg,55.873,0.97
308.jpg,55.979,0.973
309.jpg,55.711,0.965
310.jpg,55.89,0.971
311.jpg,55.695,0.965
312.jpg,55.46,0.957
313.jpg,55.411,0.956
314.jpg,56.097,0.977
315.jpg,55.571,0.961
316.jpg,55.822,0.969
317.jpg,56.116,0.978
318.jpg,55.721,0.966
319.jpg,55.538,0.96
320.jpg,55.729,0.966
321.jpg,56.002,0.974
322.jpg,56.08,0.977
323.jpg,55.694,0.965
324.jpg,55.743,0.966
325.jpg,55.787,0.968
326.jpg,55.844,0.969
327.jpg,56.097,0.977
328.jpg,55.982,0.974
329.jpg,56.084,0.977
330.jpg,55.866,0.97
331.jpg,56.097,0.977
332.jpg,56.101,0.977
333.jpg,56.198,0.98
334.jpg,56.253,0.982
335.jpg,56.538,0.991
336.jpg,56.841,1.0
