,WPSNR,NWPSNR
004.jpg,39.784,0.928
005.jpg,40.073,0.947
006.jpg,38.004,0.812
007.jpg,39.781,0.928
008.jpg,39.14,0.886
009.jpg,37.788,0.798
010.jpg,37.353,0.769
011.jpg,38.08,0.817
012.jpg,38.365,0.836
013.jpg,38.188,0.824
014.jpg,38.202,0.825
015.jpg,37.805,0.799
016.jpg,39.039,0.88
017.jpg,39.187,0.889
018.jpg,39.336,0.899
019.jpg,40.059,0.946
020.jpg,39.791,0.929
021.jpg,40.094,0.949
022.jpg,39.657,0.92
023.jpg,37.913,0.806
024.jpg,37.923,0.807
025.jpg,40.519,0.976
026.jpg,40.468,0.973
027.jpg,39.652,0.92
028.jpg,38.564,0.849
029.jpg,38.502,0.845
030.jpg,38.127,0.82
031.jpg,38.147,0.821
032.jpg,37.206,0.76
033.jpg,37.184,0.758
034.jpg,39.286,0.896
035.jpg,38.413,0.839
036.jpg,37.734,0.794
037.jpg,37.89,0.804
038.jpg,39.348,0.9
039.jpg,38.537,0.847
040.jpg,39.357,0.9
041.jpg,39.796,0.929
042.jpg,39.597,0.916
043.jpg,39.635,0.919
044.jpg,38.938,0.873
045.jpg,36.466,0.711
046.jpg,39.055,0.881
047.jpg,39.284,0.896
048.jpg,39.39,0.903
049.jpg,35.328,0.637
050.jpg,39.937,0.938
051.jpg,40.083,0.948
052.jpg,37.377,0.771
053.jpg,40.496,0.975
054.jpg,40.536,0.978
055.jpg,39.845,0.932
056.jpg,39.194,0.89
057.jpg,40.537,0.978
058.jpg,37.472,0.777
059.jpg,35.858,0.672
060.jpg,35.692,0.661
061.jpg,39.481,0.909
062.jpg,39.527,0.912
063.jpg,39.711,0.924
064.jpg,39.702,0.923
065.jpg,39.34,0.899
066.jpg,38.101,0.818
067.jpg,38.695,0.857
068.jpg,40.593,0.981
069.jpg,40.879,1.0
070.jpg,40.728,0.99
071.jpg,40.276,0.961
072.jpg,38.779,0.863
073.jpg,39.045,0.88
074.jpg,39.921,0.937
075.jpg,40.633,0.984
076.jpg,40.504,0.975
077.jpg,40.62,0.983
078.jpg,40.415,0.97
079.jpg,40.056,0.946
080.jpg,40.155,0.953
081.jpg,39.713,0.924
082.jpg,39.812,0.93
083.jpg,39.284,0.896
084.jpg,38.1,0.818
085.jpg,40.017,0.944
086.jpg,37.954,0.809
087.jpg,39.447,0.906
088.jpg,39.886,0.935
089.jpg,39.616,0.917
090.jpg,38.823,0.866
091.jpg,36.398,0.707
092.jpg,37.175,0.758
093.jpg,33.164,0.495
094.jpg,31.245,0.37
095.jpg,39.732,0.925
096.jpg,39.709,0.923
097.jpg,38.297,0.831
098.jpg,40.223,0.957
099.jpg,39.805,0.93
100.jpg,27.374,0.117
101.jpg,27.808,0.145
102.jpg,28.239,0.173
103.jpg,28.277,0.176
104.jpg,27.829,0.146
105.jpg,27.739,0.141
106.jpg,27.607,0.132
107.jpg,27.549,0.128
108.jpg,28.121,0.165
109.jpg,28.301,0.177
110.jpg,27.847,0.148
111.jpg,28.467,0.188
112.jpg,29.791,0.275
113.jpg,28.981,0.222
114.jpg,28.674,0.202
115.jpg,28.77,0.208
116.jpg,28.689,0.203
117.jpg,28.538,0.193
118.jpg,28.249,0.174
119.jpg,28.326,0.179
120.jpg,27.824,0.146
121.jpg,27.705,0.138
122.jpg,27.705,0.138
123.jpg,27.369,0.116
124.jpg,27.276,0.11
125.jpg,27.223,0.107
126.jpg,27.431,0.12
127.jpg,27.576,0.13
128.jpg,27.845,0.147
129.jpg,27.452,0.122
130.jpg,27.562,0.129
131.jpg,27.978,0.156
132.jpg,27.482,0.124
133.jpg,27.868,0.149
134.jpg,28.281,0.176
135.jpg,28.054,0.161
136.jpg,28.281,0.176
137.jpg,27.517,0.126
138.jpg,27.802,0.145
139.jpg,27.863,0.149
140.jpg,27.628,0.133
141.jpg,27.474,0.123
142.jpg,27.915,0.152
143.jpg,27.585,0.13
144.jpg,27.499,0.125
145.jpg,27.106,0.099
146.jpg,27.11,0.099
147.jpg,26.919,0.087
148.jpg,27.344,0.115
149.jpg,27.153,0.102
150.jpg,26.843,0.082
151.jpg,26.443,0.056
152.jpg,26.92,0.087
153.jpg,26.884,0.085
154.jpg,26.826,0.081
155.jpg,26.418,0.054
156.jpg,26.209,0.04
157.jpg,26.122,0.035
158.jpg,26.291,0.046
159.jpg,25.591,0.0
160.jpg,25.868,0.018
161.jpg,25.845,0.017
162.jpg,26.339,0.049
163.jpg,26.572,0.064
164.jpg,27.205,0.106
165.jpg,27.392,0.118
166.jpg,27.297,0.112
167.jpg,26.803,0.079
168.jpg,27.163,0.103
169.jpg,27.273,0.11
170.jpg,27.173,0.103
171.jpg,27.107,0.099
172.jpg,27.436,0.121
173.jpg,33.703,0.531
174.jpg,31.925,0.414
175.jpg,31.35,0.377
176.jpg,40.1,0.949
177.jpg,30.83,0.343
178.jpg,29.51,0.256
179.jpg,31.689,0.399
